date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:12:17	330/330	---M--	200	added ('OK')	image/svg+xml	etag:%22adafe5285de615f363f9b7b17345df70-ssl%22	https://bryan-herrera.netlify.app/images/skills/npm-original-wordmark.svg	C:/My%20Web%20Sites/copia/bryan-herrera.netlify.app/images/skills/npm-original-wordmark.svg	(from https://bryan-herrera.netlify.app/)
20:12:18	25684/25684	---M--	200	added ('OK')	image/webp	etag:%22f9eb0c3a0b0e013127be0024e85829dc-ssl%22	https://bryan-herrera.netlify.app/images/projects/1.webp	C:/My%20Web%20Sites/copia/bryan-herrera.netlify.app/images/projects/1.webp	(from https://bryan-herrera.netlify.app/)
20:12:18	11939/11939	---M--	301	error ('Moved%20Permanently')	text/html	etag:%22f394f4979da0033879b372d362cc9beb-ssl-df%22	https://bryan-herrera.netlify.app/proyectos/responsive-social-platform-ui	C:/My%20Web%20Sites/copia/bryan-herrera.netlify.app/proyectos/responsive-social-platform-ui.1d.delayed	(from https://bryan-herrera.netlify.app/)
20:12:19	41373/41373	---M-Z	200	added ('OK')	text/html	etag:%22f394f4979da0033879b372d362cc9beb-ssl-df%22	https://bryan-herrera.netlify.app/proyectos/responsive-social-platform-ui/	C:/My%20Web%20Sites/copia/bryan-herrera.netlify.app/proyectos/responsive-social-platform-ui/index.html	(from https://bryan-herrera.netlify.app/)
20:12:19	18314/18314	---M--	200	added ('OK')	image/webp	etag:%228dfddc290980f3f9a987c106e0c2a26f-ssl%22	https://bryan-herrera.netlify.app/images/projects/2.webp	C:/My%20Web%20Sites/copia/bryan-herrera.netlify.app/images/projects/2.webp	(from https://bryan-herrera.netlify.app/)
20:12:20	9551/9551	---M-Z	200	added ('OK')	text/html	etag:W/%22254f-8ipwZp3kra7OGmgtmg3zx+Z+pJQ%22	https://media1.tenor.com/images/07bb5d84ddafd6d444312adbd2e471c8/tenor.gif?itemid=14013495	C:/My%20Web%20Sites/copia/media1.tenor.com/images/07bb5d84ddafd6d444312adbd2e471c8/tenor9a3a.html	(from https://bryan-herrera.netlify.app/)
20:12:21	4624/4624	---MC-	301	error ('Moved%20Permanently')	text/html	etag:%226d4e75df27f301bc6e3150a627f664b0-ssl-df%22	https://bryan-herrera.netlify.app/proyectos/RedMonkeyLayout/index.html	C:/My%20Web%20Sites/copia/bryan-herrera.netlify.app/proyectos/RedMonkeyLayout/index.20.delayed	(from https://bryan-herrera.netlify.app/)
20:12:22	24848/24848	---MCZ	200	added ('OK')	text/html	etag:%226d4e75df27f301bc6e3150a627f664b0-ssl-df%22	https://bryan-herrera.netlify.app/proyectos/redmonkeylayout/	C:/My%20Web%20Sites/copia/bryan-herrera.netlify.app/proyectos/redmonkeylayout/index.html	(from https://bryan-herrera.netlify.app/)
20:12:23	2215/2215	---MC-	301	error ('Moved%20Permanently')	text/html	etag:%2221cdb417407cf186604d461a6f4810ce-ssl-df%22	https://bryan-herrera.netlify.app/proyectos/ResponsiveBlogger/index.html	C:/My%20Web%20Sites/copia/bryan-herrera.netlify.app/proyectos/ResponsiveBlogger/index.22.delayed	(from https://bryan-herrera.netlify.app/)
20:12:23	96381/96381	---M--	200	added ('OK')	text/javascript	date:Tue,%2003%20Mar%202020%2019:15:00%20GMT	https://ajax.googleapis.com/ajax/libs/jquery/1.11.0/jquery.min.js	C:/My%20Web%20Sites/copia/ajax.googleapis.com/ajax/libs/jquery/1.11.0/jquery.min.js	(from https://bryan-herrera.netlify.app/)
20:12:24	2177881/2177881	---M--	200	added ('OK')	image/png	etag:%22980bae01f07ef68d2ead44970aef900f-ssl%22	https://bryan-herrera.netlify.app/proyectos/ResponsiveBlogger/assets/Background-image.png	C:/My%20Web%20Sites/copia/bryan-herrera.netlify.app/proyectos/ResponsiveBlogger/assets/Background-image.png	(from https://bryan-herrera.netlify.app/)
20:12:24	18746/18746	---MCZ	200	added ('OK')	text/html	etag:%2221cdb417407cf186604d461a6f4810ce-ssl-df%22	https://bryan-herrera.netlify.app/proyectos/responsiveblogger/	C:/My%20Web%20Sites/copia/bryan-herrera.netlify.app/proyectos/responsiveblogger/index.html	(from https://bryan-herrera.netlify.app/)
20:12:24	56842/56842	---M-Z	200	added ('OK')	text/css	etag:%225eb03e60-de0a%22	https://cdnjs.cloudflare.com/ajax/libs/font-awesome/5.11.2/css/all.min.css	C:/My%20Web%20Sites/copia/cdnjs.cloudflare.com/ajax/libs/font-awesome/5.11.2/css/all.min.css	(from https://bryan-herrera.netlify.app/)
20:12:25	3351/3351	---M-Z	200	added ('OK')	text/css	etag:%225eb03cf0-d17%22	https://cdnjs.cloudflare.com/ajax/libs/OwlCarousel2/2.3.4/assets/owl.carousel.min.css	C:/My%20Web%20Sites/copia/cdnjs.cloudflare.com/ajax/libs/OwlCarousel2/2.3.4/assets/owl.carousel.min.css	(from https://bryan-herrera.netlify.app/)
20:12:25	44342/44342	---M-Z	200	added ('OK')	application/javascript	etag:%225eb03cf0-ad36%22	https://cdnjs.cloudflare.com/ajax/libs/OwlCarousel2/2.3.4/owl.carousel.min.js	C:/My%20Web%20Sites/copia/cdnjs.cloudflare.com/ajax/libs/OwlCarousel2/2.3.4/owl.carousel.min.js	(from https://bryan-herrera.netlify.app/)
20:12:26	13010/13010	---M-Z	200	added ('OK')	application/javascript	etag:%22143a79b5af194794c47ab9540d9a740f-ssl-df%22	https://bryan-herrera.netlify.app/dist/animsition/animation.js	C:/My%20Web%20Sites/copia/bryan-herrera.netlify.app/dist/animsition/animation.js	(from https://bryan-herrera.netlify.app/)
20:12:26	5022/5022	---M-Z	200	added ('OK')	application/javascript	etag:%225eb03ec3-139e%22	http://cdnjs.cloudflare.com/ajax/libs/jquery.lazy/1.7.9/jquery.lazy.min.js	C:/My%20Web%20Sites/copia/cdnjs.cloudflare.com/ajax/libs/jquery.lazy/1.7.9/jquery.lazy.min.js	(from https://bryan-herrera.netlify.app/)
20:12:27	4412/4412	---M-Z	200	added ('OK')	application/javascript	etag:%225eb03ec3-113c%22	http://cdnjs.cloudflare.com/ajax/libs/jquery.lazy/1.7.9/jquery.lazy.plugins.min.js	C:/My%20Web%20Sites/copia/cdnjs.cloudflare.com/ajax/libs/jquery.lazy/1.7.9/jquery.lazy.plugins.min.js	(from https://bryan-herrera.netlify.app/)
20:12:27	4625/4625	---M-Z	200	added ('OK')	application/javascript	etag:%22144e53982b4c7a48479e36c16a1d910a-ssl-df%22	https://bryan-herrera.netlify.app/script.js	C:/My%20Web%20Sites/copia/bryan-herrera.netlify.app/script.js	(from https://bryan-herrera.netlify.app/)
20:12:28	14021/14021	---M-Z	200	added ('OK')	image/svg+xml	etag:%22b3b080fabebfeccc66717c6bde20bc37-ssl-df%22	https://bryan-herrera.netlify.app/images/svg/fondo/fondo.svg	C:/My%20Web%20Sites/copia/bryan-herrera.netlify.app/images/svg/fondo/fondo.svg	(from https://bryan-herrera.netlify.app/style.css)
20:12:29	6714/6714	---M-Z	200	added ('OK')	image/svg+xml	etag:%22103317e24a46d29843209d2aebb50d8f-ssl-df%22	https://bryan-herrera.netlify.app/images/svg/fondo/waves.svg	C:/My%20Web%20Sites/copia/bryan-herrera.netlify.app/images/svg/fondo/waves.svg	(from https://bryan-herrera.netlify.app/style.css)
20:12:31	7045/7045	---M-Z	200	added ('OK')	image/svg+xml	etag:%22a054d5af0d79cbc59f481409ad664f38-ssl-df%22	https://bryan-herrera.netlify.app/images/svg/fondo/waves2.svg	C:/My%20Web%20Sites/copia/bryan-herrera.netlify.app/images/svg/fondo/waves2.svg	(from https://bryan-herrera.netlify.app/style.css)
20:12:31	6373/6373	---M-Z	200	added ('OK')	image/svg+xml	etag:%228ef6a18cdd31ca931da4346784e97cb7-ssl-df%22	https://bryan-herrera.netlify.app/images/svg/fondo/waves-static.svg	C:/My%20Web%20Sites/copia/bryan-herrera.netlify.app/images/svg/fondo/waves-static.svg	(from https://bryan-herrera.netlify.app/style.css)
20:12:33	6595/6595	---M-Z	200	added ('OK')	image/svg+xml	etag:%22ddb6bb49169e6b4f2c51821aabc52cde-ssl-df%22	https://bryan-herrera.netlify.app/images/svg/fondo/waves2-static.svg	C:/My%20Web%20Sites/copia/bryan-herrera.netlify.app/images/svg/fondo/waves2-static.svg	(from https://bryan-herrera.netlify.app/style.css)
20:12:33	2199/2199	---M-Z	200	added ('OK')	text/css	etag:%225eb03f2b-897%22	https://cdnjs.cloudflare.com/ajax/libs/normalize/5.0.0/normalize.min.css	C:/My%20Web%20Sites/copia/cdnjs.cloudflare.com/ajax/libs/normalize/5.0.0/normalize.min.css	(from https://bryan-herrera.netlify.app/proyectos/responsive-social-platform-ui/)
20:12:34	89476/89476	---M-Z	200	added ('OK')	application/javascript	etag:W/%22611feac9-15d84%22	https://code.jquery.com/jquery-3.5.1.min.js	C:/My%20Web%20Sites/copia/code.jquery.com/jquery-3.5.1.min.js	(from https://bryan-herrera.netlify.app/proyectos/responsive-social-platform-ui/)
20:12:35	15705/15705	---M-Z	200	added ('OK')	text/css	etag:%226259886a73ad57c3a3576734461977d0-ssl-df%22	https://bryan-herrera.netlify.app/proyectos/responsive-social-platform-ui/style.css	C:/My%20Web%20Sites/copia/bryan-herrera.netlify.app/proyectos/responsive-social-platform-ui/style.css	(from https://bryan-herrera.netlify.app/proyectos/responsive-social-platform-ui/)
20:12:36	20939/20939	---MCZ	200	added ('OK')	text/html	etag:%22755e1ce8d688c0076452196636094277-ssl-df%22	https://bryan-herrera.netlify.app/index.html	C:/My%20Web%20Sites/copia/bryan-herrera.netlify.app/index-2.html	(from https://bryan-herrera.netlify.app/proyectos/responsive-social-platform-ui/)
